All India Item Inflation Rates (Base 2012=100),,,,,,,,,,,,,
Year, Item Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,gold,-7.36,-8.65,-10.44,-8.39,-6.65,-2.96,-7.2,-8.72,-4.17,-2.48,-1.78,-4.17
2016,gold,-4.29,1.94,6.27,7.09,8.31,9.03,15.52,18.77,16.95,13.47,16.61,10.98
2017,gold,10.09,5.7,3,1.73,-1.89,-1.2,-4.97,-5.27,-3.43,-1.26,-1.74,2.58
2018,gold,3.56,3.3,4.42,5.51,7.92,6.77,6.97,3.84,2.96,4.83,4.24,7.04
2019,gold,7.28,8.8,5.97,3.32,2.92,6.34,11.21,21.32,22.91,21.33,22.71,21.88
2020,gold,24.2,23.91,,,,42.88,45.05,44.7,35.73,33.85,33,30.66
2021,gold,25.46,16.64,,,,,-2.73,-10.09,-7.7,-6.37,-4.52,-3.07
2022,gold,-3.41,2.34,11.96,10.64,5.01,5.19,4.03,6.42,5.35,5.32,5.04,8.76
2023,gold,13.28,13.64,10.68,13.82,18.16,16.14,16.73,15.07,17.49,16.55,17.51,15.94
2024,gold,12.15,10.21,12.94,17.79,18.23,19.8,20.81,19.6,22.99,28.95,26.66,24.07
2025,gold,26.37,35.6,34.13,30.89,32.42,35.93,36.04,40.35,46.99,57.83,58.6,68.7
