	Gold: India: Bombay Market: Standard
Region	India
Subnational	
Frequency	"Daily, ""5 observation"""
Unit	INR/10 g
Source	The Economic Times
Status	Active
Series ID	19318401 (IDPBA)
SR Code	SR4729484
Trade Code	
Mnemonic	
Function Description	
First Obs. Date	07/14/1997
Last Obs. Date	02/14/2020
Last Update Time	15-05-26
Series Remarks	[COVID-19-IMPACT]
Suggestions	
Mean	16625.9898
Variance	127721194.7
Standard Deviation	11301.38021
Skewness	0.29705127
Kurtosis	-1.536162631
Coefficient Variation	0.679741799
Min	3900
Max	41000
Median	13025
Sum	89630711
Subtract	-37100
No. of Obs	5391
07/14/1997	4470
07/15/1997	4455
07/16/1997	4450
07/17/1997	4450
07/18/1997	4505
07/21/1997	4580
07/22/1997	4550
07/23/1997	4520
07/24/1997	4520
07/25/1997	4520
07/28/1997	4550
07/29/1997	4525
07/30/1997	4540
07/31/1997	4520
08-01-97	4530
08-04-97	4530
08-05-97	4530
08-06-97	4515
08-07-97	4480
08-08-97	4465
08-11-97	4495
08-12-97	4495
08/13/1997	4495
08/14/1997	4520
08/19/1997	4520
08/20/1997	4500
08/21/1997	4500
08/22/1997	4500
08/26/1997	4500
08/27/1997	4535
08/28/1997	4540
08/29/1997	4535
09-01-97	4520
09-02-97	4510
09-03-97	4510
09-04-97	4490
09-05-97	4480
09-08-97	4470
09-09-97	4475
09-10-97	4465
09-11-97	4470
09-12-97	4470
09/15/1997	4450
09/16/1997	4450
09/17/1997	4440
09/18/1997	4410
09/19/1997	4400
09/22/1997	4390
09/23/1997	4380
09/24/1997	4380
09/25/1997	4390
09/26/1997	4420
09/29/1997	4410
09/30/1997	4450
10-01-97	4490
10-03-97	4610
10-06-97	4530
10-07-97	4515
10-08-97	4490
10-09-97	4490
10-10-97	4505
10/13/1997	4470
10/14/1997	4455
10/15/1997	4450
10/16/1997	4450
10/17/1997	4440
10/20/1997	4390
10/21/1997	4330
10/22/1997	4330
10/23/1997	4350
10/24/1997	4370
10/27/1997	4270
10/28/1997	4300
10/29/1997	4285
11-03-97	4200
11-04-97	4145
11-05-97	4170
11-06-97	4195
11-07-97	4200
11-10-97	4235
11-11-97	4210
11-12-97	4210
11/13/1997	4240
11/17/1997	4175
11/18/1997	4120
11/19/1997	4120
11/20/1997	4130
11/21/1997	4120
11/24/1997	4090
11/25/1997	4110
11/26/1997	4090
11/27/1997	4060
11/28/1997	4020
12-04-97	4020
12-05-97	3980
12-08-97	3915
12-09-97	3920
12-10-97	3910
12-11-97	3900
12-12-97	3930
12/15/1997	3910
12/16/1997	3920
12/17/1997	3925
12/18/1997	3975
12/19/1997	3975
12/22/1997	4085
12/23/1997	4180
12/24/1997	4160
12/26/1997	4140
12/29/1997	4080
12/30/1997	4040
12/31/1997	4030
01-01-98	3995
01-02-98	3995
01-05-98	3980
01-06-98	4065
01-07-98	4010
01-08-98	3995
01-09-98	4040
01-12-98	4015
01/13/1998	3985
01/14/1998	3985
01/15/1998	3985
01/19/1998	4030
01/20/1998	4015
01/21/1998	3960
01/23/1998	3975
01/27/1998	4010
01/28/1998	4010
01/29/1998	4025
02-02-98	4050
02-03-98	4060
02-04-98	4050
02-05-98	3990
02-06-98	4000
02-09-98	3995
02-11-98	4020
02-12-98	4000
02/13/1998	4000
02/16/1998	3995
02/17/1998	4000
02/18/1998	3995
02/19/1998	3985
02/20/1998	3980
02/23/1998	3970
02/24/1998	3975
02/26/1998	3960
02/27/1998	3950
03-02-98	3990
03-03-98	4050
03-04-98	4030
03-05-98	4020
03-06-98	3990
03-09-98	3980
03-10-98	3990
03-11-98	4000
03-12-98	4010
03/16/1998	3985
03/17/1998	3985
03/18/1998	3985
03/19/1998	3950
03/20/1998	3950
03/23/1998	3940
03/24/1998	3950
03/25/1998	3990
03/26/1998	3990
03/27/1998	4010
03/30/1998	4050
03/31/1998	4070
04-01-98	4045
04-02-98	4045
04-03-98	4055
04-06-98	4160
04-07-98	4250
04/13/1998	4250
04/15/1998	4250
04/16/1998	4240
04/17/1998	4215
04/20/1998	4205
04/21/1998	4210
04/22/1998	4200
04/23/1998	4240
04/24/1998	4260
04/27/1998	4255
04/29/1998	4240
05-04-98	4155
05-05-98	4160
05-06-98	4160
05-08-98	4105
05-11-98	4100
05-12-98	4095
05/13/1998	4080
05/14/1998	4060
05/15/1998	4110
05/18/1998	4150
05/19/1998	4140
05/20/1998	4130
05/21/1998	4115
05/22/1998	4150
05/25/1998	4160
05/26/1998	4180
05/27/1998	4185
05/28/1998	4150
05/29/1998	4160
06-02-98	4200
06-03-98	4180
06-04-98	4200
06-05-98	4185
06-08-98	4170
06-09-98	4160
06-10-98	4230
06-11-98	4230
06-12-98	4225
06/15/1998	4150
06/16/1998	4155
06/17/1998	4165
06/18/1998	4160
06/19/1998	4200
06/22/1998	4225
06/23/1998	4275
06/24/1998	4275
06/25/1998	4270
06/26/1998	4265
06/29/1998	4290
06/30/1998	4290
07-01-98	4300
07-02-98	4300
07-03-98	4290
07-07-98	4280
07-08-98	4275
07-09-98	4285
07-10-98	4275
07/13/1998	4240
07/14/1998	4240
07/15/1998	4270
07/16/1998	4270
07/17/1998	4295
07/20/1998	4280
07/21/1998	4290
07/22/1998	4300
07/23/1998	4290
07/24/1998	4280
07/27/1998	4260
07/28/1998	4250
07/29/1998	4245
07/30/1998	4245
07/31/1998	4240
08-03-98	4210
08-04-98	4205
08-05-98	4195
08-06-98	4215
08-07-98	4200
08-10-98	4195
08-11-98	4205
08-12-98	4200
08/13/1998	4210
08/14/1998	4200
08/18/1998	4210
08/19/1998	4245
08/20/1998	4270
08/21/1998	4250
08/25/1998	4200
08/27/1998	4200
08/28/1998	4150
08/31/1998	4050
09-01-98	4070
09-02-98	4070
09-03-98	4130
09-07-98	4160
09-08-98	4230
09-09-98	4230
09-10-98	4175
09-11-98	4185
