"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLD","10 Grams","27-FEB-2026","1,58,791.00","1,58,441.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27022026_2.xlsx"
"GOLD","10 Grams","26-FEB-2026","1,58,524.00","1,57,694.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26022026_2.xlsx"
"GOLD","10 Grams","25-FEB-2026","1,59,374.00","1,58,855.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25022026_2.xlsx"
"GOLD","10 Grams","24-FEB-2026","1,58,791.00","1,58,727.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24022026_2.xlsx"
"GOLD","10 Grams","23-FEB-2026","1,57,873.00","1,57,705.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23022026_2.xlsx"
"GOLD","10 Grams","20-FEB-2026","1,54,223.00","1,54,569.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20022026_2.xlsx"
"GOLD","10 Grams","19-FEB-2026","1,54,320.00","1,54,016.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19022026_2.xlsx"
"GOLD","10 Grams","18-FEB-2026","1,51,579.00","1,51,144.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18022026_2.xlsx"
"GOLD","10 Grams","17-FEB-2026","1,50,676.00","1,51,485.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17022026_2.xlsx"
"GOLD","10 Grams","16-FEB-2026","1,53,722.00","1,53,860.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16022026_2.xlsx"
"GOLD","10 Grams","13-FEB-2026","1,52,421.00","1,52,695.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13022026_2.xlsx"
"GOLD","10 Grams","12-FEB-2026","1,55,576.00","1,55,351.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12022026_2.xlsx"
"GOLD","10 Grams","11-FEB-2026","1,55,599.00","1,55,981.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11022026_2.xlsx"
"GOLD","10 Grams","10-FEB-2026","1,55,057.00","1,55,636.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10022026_2.xlsx"
"GOLD","10 Grams","09-FEB-2026","1,55,241.00","1,54,828.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09022026_2.xlsx"
"GOLD","10 Grams","06-FEB-2026","1,51,490.00","1,51,774.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06022026_2.xlsx"
"GOLD","10 Grams","05-FEB-2026","1,53,207.00","1,51,581.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05022026_2.xlsx"
